date_,Geography,Variable,Value
2014-04-01,National,Total Private,116032000
2014-03-01,National,Goods Producing,18675000
2014-03-01,National,Government,22225000
2014-03-01,National,Service-Providing,118494000
2014-03-01,National,Total Private,114944000
2014-02-01,National,Goods Producing,18491000
2014-02-01,National,Government,22110000
2014-02-01,National,Service-Providing,117720000
2014-02-01,National,Total Private,114101000
2014-01-01,National,Goods Producing,18456000
2014-01-01,National,Government,21679000
2014-01-01,National,Service-Providing,117015000
2014-01-01,National,Total Private,113792000
2013-12-01,National,Goods Producing,18793000
2013-12-01,National,Government,22179000
2013-12-01,National,Service-Providing,119481000
2013-12-01,National,Total Private,116095000
2013-11-01,National,Goods Producing,19007000
2013-11-01,National,Government,22314000
2013-11-01,National,Service-Providing,119518000
2013-11-01,National,Total Private,116211000
2013-10-01,National,Goods Producing,19098000
2013-10-01,National,Government,22193000
2013-10-01,National,Service-Providing,118903000
2013-10-01,National,Total Private,115808000
2013-09-01,National,Goods Producing,19097000
2013-09-01,National,Government,21728000
2013-09-01,National,Service-Providing,117980000
2013-09-01,National,Total Private,115349000
2013-08-01,National,Goods Producing,19140000
2013-08-01,National,Government,20753000
2013-08-01,National,Service-Providing,117331000
2013-08-01,National,Total Private,115718000
2013-07-01,National,Goods Producing,19048000
2013-07-01,National,Government,20524000
2013-07-01,National,Service-Providing,116986000
2013-07-01,National,Total Private,115510000
2013-06-01,National,Goods Producing,18997000
2013-06-01,National,Government,21785000
2013-06-01,National,Service-Providing,118212000
2013-06-01,National,Total Private,115424000
2013-05-01,National,Goods Producing,18723000
2013-05-01,National,Government,22242000
2013-05-01,National,Service-Providing,118074000
2013-05-01,National,Total Private,114555000
2013-04-01,National,Goods Producing,18469000
2013-04-01,National,Government,22290000
2013-04-01,National,Service-Providing,117436000
2013-04-01,National,Total Private,113615000
2013-03-01,National,Goods Producing,18283000
2013-03-01,National,Government,22273000
2013-03-01,National,Service-Providing,116618000
2013-03-01,National,Total Private,112628000
2013-02-01,National,Goods Producing,18131000
2013-02-01,National,Government,22217000
2013-02-01,National,Service-Providing,115971000
2013-02-01,National,Total Private,111885000
2013-01-01,National,Goods Producing,18071000
2013-01-01,National,Government,21732000
2013-01-01,National,Service-Providing,114992000
2013-01-01,National,Total Private,111331000
2012-12-01,National,Goods Producing,18440000
2012-12-01,National,Government,22245000
2012-12-01,National,Service-Providing,117507000
2012-12-01,National,Total Private,113702000
2012-11-01,National,Goods Producing,18588000
2012-11-01,National,Government,22358000
2012-11-01,National,Service-Providing,117435000
2012-11-01,National,Total Private,113665000
2012-10-01,National,Goods Producing,18729000
2012-10-01,National,Government,22258000
2012-10-01,National,Service-Providing,116904000
2012-10-01,National,Total Private,113375000
2012-09-01,National,Goods Producing,18765000
2012-09-01,National,Government,21798000
2012-09-01,National,Service-Providing,116018000
2012-09-01,National,Total Private,112985000
2012-08-01,National,Goods Producing,18850000
2012-08-01,National,Government,20830000
2012-08-01,National,Service-Providing,115306000
2012-08-01,National,Total Private,113326000
2012-07-01,National,Goods Producing,18795000
2012-07-01,National,Government,20624000
2012-07-01,National,Service-Providing,114983000
2012-07-01,National,Total Private,113154000
2012-06-01,National,Goods Producing,18711000
2012-06-01,National,Government,21850000
2012-06-01,National,Service-Providing,116275000
2012-06-01,National,Total Private,113136000
2012-05-01,National,Goods Producing,18418000
2012-05-01,National,Government,22300000
2012-05-01,National,Service-Providing,116230000
2012-05-01,National,Total Private,112348000
2012-04-01,National,Goods Producing,18180000
2012-04-01,National,Government,22349000
2012-04-01,National,Service-Providing,115656000
2012-04-01,National,Total Private,111487000
2012-03-01,National,Goods Producing,17971000
2012-03-01,National,Government,22348000
2012-03-01,National,Service-Providing,114983000
2012-03-01,National,Total Private,110606000
2012-02-01,National,Goods Producing,17802000
2012-02-01,National,Government,22271000
2012-02-01,National,Service-Providing,114248000
2012-02-01,National,Total Private,109779000
2012-01-01,National,Goods Producing,17796000
2012-01-01,National,Government,21810000
2012-01-01,National,Service-Providing,113298000
2012-01-01,National,Total Private,109284000
2011-12-01,National,Goods Producing,18141000
2011-12-01,National,Government,22290000
2011-12-01,National,Service-Providing,115560000
2011-12-01,National,Total Private,111411000
2011-11-01,National,Goods Producing,18325000
2011-11-01,National,Government,22441000
2011-11-01,National,Service-Providing,115551000
2011-11-01,National,Total Private,111435000
2011-10-01,National,Goods Producing,18464000
2011-10-01,National,Government,22359000
2011-10-01,National,Service-Providing,115076000
2011-10-01,National,Total Private,111181000
2011-09-01,National,Goods Producing,18479000
2011-09-01,National,Government,21848000
2011-09-01,National,Service-Providing,114138000
2011-09-01,National,Total Private,110769000
2011-08-01,National,Goods Producing,18524000
2011-08-01,National,Government,20868000
2011-08-01,National,Service-Providing,113346000
2011-08-01,National,Total Private,111002000
2011-07-01,National,Goods Producing,18435000
2011-07-01,National,Government,20767000
2011-07-01,National,Service-Providing,113164000
2011-07-01,National,Total Private,110832000
2011-06-01,National,Goods Producing,18327000
2011-06-01,National,Government,22094000
2011-06-01,National,Service-Providing,114544000
2011-06-01,National,Total Private,110777000
2011-05-01,National,Goods Producing,18022000
2011-05-01,National,Government,22525000
2011-05-01,National,Service-Providing,114360000
2011-05-01,National,Total Private,109857000
2011-04-01,National,Goods Producing,17761000
2011-04-01,National,Government,22617000
2011-04-01,National,Service-Providing,113937000
2011-04-01,National,Total Private,109081000
2011-03-01,National,Goods Producing,17487000
2011-03-01,National,Government,22595000
2011-03-01,National,Service-Providing,112995000
2011-03-01,National,Total Private,107887000
2011-02-01,National,Goods Producing,17314000
2011-02-01,National,Government,22505000
2011-02-01,National,Service-Providing,112262000
